term_str,n,n_chars
indian,4,6
fruit,4,5
roman,4,5
schoen,4,6
luxurious,4,9
jacques,3,7
intensive,3,9
poppy,3,5
berries,3,7
musician,3,8
extraordinary,3,13
francois,3,8
montale,3,7
cacao,3,5
bringing,3,8
calming,3,7
mediterranean,3,13
synthetic,3,9
enriched,3,8
expression,3,10
eight,3,5
wild,3,4
carlisle,3,8
just,3,4
contain,3,7
galbanum,3,8
apricot,3,7
us,3,2
geranium,3,8
adam,3,4
sand,3,4
fille,3,5
only,3,4
rare,3,4
demachy,3,7
celebrates,3,10
fabulous,3,8
cologne,3,7
combined,3,8
panarea,3,7
mirto,3,5
musky,3,5
airy,3,4
frederic,3,8
coral,3,5
odeurs,3,6
particular,3,10
olibanum,3,8
coffee,3,6
nuances,3,7
present,3,7
narcissus,3,9
royal,3,5
making,3,6
memories,3,8
suede,3,5
story,3,5
too,3,3
work,3,4
sycomore,3,8
brings,3,6
needles,3,7
epicee,3,6
whispers,3,8
travel,3,6
alberto,3,7
some,3,4
basil,3,5
years,3,5
ropion,3,6
make,3,4
aroma,3,5
campaign,3,8
interpretation,3,14
body,3,4
irisee,3,6
renaissance,3,11
egyptian,3,8
fucking,3,7
perfumes,3,8
feminine,3,8
glass,3,5
heavy,3,5
shaped,3,6
september,3,9
since,3,5
official,3,8
pleasure,3,8
rome,3,4
heliotropin,3,11
powder,3,6
desert,3,6
before,3,6
powdery,3,7
facets,3,6
dominique,3,9
substance,3,9
dance,3,5
smoke,3,5
resin,3,5
contrasting,3,11
exotic,3,6
rich,3,4
ancient,3,7
known,3,5
inside,3,6
elegance,3,8
30,3,2
pineapple,3,9
truffle,3,7
100ml,3,5
playful,3,7
bal,3,3
strength,3,8
journey,3,7
prick,3,5
les,3,3
wonder,3,6
bouquet,3,7
summer,3,6
sour,3,4
iconic,3,6
gold,3,4
aphrodisiac,3,11
seductive,3,9
lost,3,4
accord,3,6
reveals,3,7
niche,3,5
cumin,3,5
essential,3,9
while,3,5
full,3,4
blood,3,5
blended,3,7
up,3,2
will,3,4
finish,3,6
way,3,3
oak,3,3
east,3,4
may,3,3
beans,3,5
yet,3,3
sometimes,3,9
almonds,3,7
sugar,2,5
actor,2,5
fiery,2,5
fine,2,4
launches,2,8
itself,2,6
eastern,2,7
magnificence,2,12
joins,2,5
prison,2,6
artist,2,6
escape,2,6
cake,2,4
walk,2,4
dior,2,4
waves,2,5
cap,2,3
crime,2,5
famous,2,6
pictured,2,8
social,2,6
freedom,2,7
tiare,2,5
eve,2,3
frescoes,2,8
clove,2,5
sunny,2,5
hot,2,3
taste,2,5
nil,2,3
earthly,2,7
forest,2,6
ocean,2,5
masculine,2,9
pleasant,2,8
home,2,4
breath,2,6
fountain,2,8
vibrant,2,7
take,2,4
old,2,3
dense,2,5
intimate,2,8
decorated,2,9
never,2,5
day,2,3
tried,2,5
presenting,2,10
opulent,2,7
ripe,2,4
melon,2,5
touch,2,5
sound,2,5
voyage,2,6
experience,2,10
joy,2,3
emotions,2,8
griotte,2,7
syrup,2,5
product,2,7
moment,2,6
lighter,2,7
you,2,3
fruits,2,6
eyes,2,4
deep,2,4
smell,2,5
sense,2,5
florals,2,7
drydown,2,7
13,2,2
everything,2,10
symbol,2,6
milk,2,4
contained,2,9
universal,2,9
gender,2,6
develops,2,8
enigmatic,2,9
lotus,2,5
india,2,5
print,2,5
roof,2,4
louise,2,6
plant,2,5
moon,2,4
turner,2,6
angelica,2,8
point,2,5
marocain,2,8
andy,2,4
had,2,3
tempting,2,8
authentic,2,9
transparent,2,11
intoxicating,2,12
modern,2,6
passionate,2,10
roots,2,5
flesh,2,5
luminous,2,8
malle,2,5
musks,2,5
indulgence,2,10
master,2,6
opening,2,7
thomas,2,6
aldehydes,2,9
were,2,4
bain,2,4
styrax,2,6
early,2,5
wusulan,2,7
citrusy,2,7
traditionally,2,13
fragrant,2,8
trip,2,4
